home,dir_name,author,year,title
.,9C4LGASG,Bell et al.,2013,Realistic Neutron Star Constraints On Bosonic Asym
.,QMK8ZADL,Bennett et al.,2013,Reanalysis Of $Mathcal {F}$-Statistic Gravitation
.,PPAVG8HF,Bera and Pal,2013,Molecular Rectifiers Based On Donoracceptor Assem
.,IIRM24IP,Berkman et al.,2013,Dispersion And Domestication Shaped The Genome Of 
.,4SRR3AKH,Bernardi et al.,2013,"A 189 Mhz, 2400 Deg 2 Polarization Surv"
.,3H4U6PXP,Bijarbooneh et al.,2013,Structurally Stabilized Mesoporous Tio 2sub
.,UK58QGCK,Blackburn et al.,2013,Lower Branch Equilibria In Couette Flow The Emerg
.,C9CJF96A,Bodman et al.,2013,Uncertainty In Temperature Projections Reduced Usi
.,KXI6ED3S,Boly et al.,2013,Consciousness In Humans And Non-Human Animals Rec
.,DSIDYB2M,Bonilla et al.,2013,Diffusion Study By Ir Micro-Imaging Of Molecular U
.,L95J3WZ7,Bonnard et al.,2013,Experimental And Theoretical Studies Of Tetrametho
.,696CAJKC,Bony et al.,2013,Robust Direct Effect Of Carbon Dioxide On Tropical
.,6EJM5UWU,Bostock et al.,2013,Calculation Of The Relativistic Rise In Electron-I
.,7KFDXEXU,Bowman et al.,2013,Science With The Murchison Widefield Array
.,JGUM6KXZ,Britton et al.,2013,"In Situ, Real-Time Visualization Of Electrochemist"
.,DPNTB2WS,Büch et al.,2013,Spin Readout And Addressability Of Phosphorus-Dono
.,BWPHGCIY,Burrows et al.,2013,Estimating Bacteria Emissions From Inversion Of At
.,XCJVD27T,Byrne et al.,2013,Inducing Alignment Of Cyclic Peptide Nanotubes Thr
.,3BB8VMWZ,Byrne et al.,2013,Radiation Damage On Sub-Cellular Scales Beyond Dn
.,9S829T63,Cally,2013,Near- And Far-Field Response To Compact Acoustic S
.,KEPILLBQ,Cally and Moradi,2013,Seismology Of The Wounded Sun
.,53A2K46N,Campbell et al.,2013,Sodium Content As A Predictor Of The Advanced Evol
.,GNE25S74,Canzar et al.,2013,Charge Group Partitioning In Biomolecular Simulati
.,AB7KEMQU,Cao et al.,2013,"Discovery, Progenitor And Early Evolution Of A Str"
.,XRAUZ8Q3,Carbonell-Coronado et al.,2013,Zero-Temperature Phase Diagram Of D 2 P
.,8KBQ9D56,Carter et al.,2013,Electronic Structure Of Phosphorus And Arsenic Δ -
.,WRF3GYV5,Cazorla and Boronat,2013,Possible Superfluidity Of Molecular Hydrogen In A 
.,9VZCIGFJ,Cazorla and Errandonea,2013,"High-Pressure, High-Temperature Phase Diagram Of C"
.,D5F2MUSK,Cazorla and Íñiguez,2013,Insights Into The Phase Diagram Of Bismuth Ferrite
.,KZWETDPE,Cazorla and Shevlin,2013,Accuracy Of Density Functional Theory In The Predi
.,Z9YR5MS4,Cazorla et al.,2013,Elastic Constants Of Incommensurate Solid 4 He Fro
.,MTUJIF95,Chand et al.,2013,Impact Of Different Enso Regimes On Southwest Paci
.,4NVP4THZ,Charles et al.,2013,Enhancement Of Waste Activated Sludge Anaerobic Di
.,QI2XZYA7,Chen Chen et al.,2013,Accurate Sampling Timing Acquisition For Baseband 
.,RA4PSN5V,Chen et al.,2013,Numerical Approaches For Multidimensional Simulati
.,PDZ4R93K,Chen et al.,2013,Atomistic Simulation Of Structure And Dynamics Of 
.,HDXQ4XJZ,Chen et al.,2013,Evaluation Of Trmm 3b42 Precipitation Estimates Of
.,BG7DYRPX,Cheng et al.,2013,Cementation Of Sand Soil By Microbially Induced Ca
.,5QLT7HUC,Ciaraldi-Schoolmann et al.,2013,A Subgrid-Scale Model For Deflagration-To-Detonati
.,VDK5JQ8A,Clarke et al.,2013,Performance Of A Novel Fast Transients Detection S
.,F2M247ZC,Clegg et al.,2013,Frailty In Elderly People
.,2CWHY4JX,Codina and Badia,2013,On The Design Of Discontinuous Galerkin Methods Fo
.,JI2RCRU3,Coenen et al.,2013,Polymorphism In Porphyrin Monolayers The Relation
.,GQ4E6CFU,Cooper et al.,2013,Effects Of Continental Configuration On Mantle Hea
.,8RSPRTMR,Corry,2013,Na + Ca 2+ Selectivity In T
.,R7A2AI4S,Cowan et al.,2013,Forcing Of Anthropogenic Aerosols On Temperature T
.,I3HL2SYD,Craig and Krumholz,2013,"Close Stellar Encounters In Young, Substructured, "
.,FD7YUF59,Crocker et al.,2013,Physical Rehabilitation For Older People In Long-T
.,IA454ZBL,Crocker et al.,2013,The Effect Of Physical Rehabilitation On Activitie
.,KF36QR4D,Culverhouse et al.,2013,Protocol For A Collaborative Meta-Analysis Of 5-Ht
.,L7XL7FGR,Curran et al.,2013,A Survey For H I In The Distant Universe The Dete
.,XKIJYL2D,Curran et al.,2013,On The H I Column Density–Radio Source Size Antico
.,2GSXHFZ4,D'Orazi et al.,2013,Rubidium Abundances In The Globular Clusters Ngc 6
.,CYGR5D7A,D’Orazi et al.,2013,On The Internal Pollution Mechanisms In The Globul
.,XH4MYRMB,Daily et al.,2013,Allosteric Activation Transitions In Enzymes And B
.,SZQAXDDU,Davies et al.,2013,A Hierarchical Mesh Refinement Technique For Globa
.,PLYYBD2A,Davis et al.,2013,Act Now Against New Nhs Competition Regulations
.,T864LE38,Davis et al.,2013,Evolutionary Refugia And Ecological Refuges Key C
.,32JDHJM7,Decker et al.,2013,Groundwater Constraints On Simulated Transpiration
.,CT993PUU,Dekel and Krumholz,2013,Steady Outflows In Giant Clumps Of High-Z Disc Gal
.,T8XDEQ8I,Diebold et al.,2013,Flow Over Hills A Large-Eddy Simulation Of The Bo
.,9BVLJWAZ,Dinoev et al.,2013,"Raman Lidar For Meteorological Observations, Ralmo"
.,EZ9METRJ,Durmaz et al.,2013,Modifying The Catalytic Preference Of Tributyrin I
.,YIAPXBPL,Duteil et al.,2013,A Novel Estimate Of Ocean Oxygen Utilisation Point
.,IU9ACW2A,El Fakhri et al.,2013,Dual-Tracer Pet Using Generalized Factor Analysis 
.,HMLZCWXG,Emelyanova et al.,2013,Assessing The Accuracy Of Blending Landsat–Modis S
.,976APVRW,Ershadi et al.,2013,A Bayesian Analysis Of Sensible Heat Flux Estimati
.,P2SX6IBC,Evans and McCabe,2013,Effect Of Model Resolution On A Regional Climate M
.,B667Z4FH,Evans et al.,2013,Optimally Choosing Small Ensemble Members To Produ
.,Z8VULJRB,Faccenda and Capitanio,2013,Seismic Anisotropy Around Subduction Zones Insigh
.,LKCGMI6F,Fair et al.,2013,Hydrogen Adsorption Capacity Of Adatoms On Double 
.,EPE735UX,Federrath,2013,On The Universality Of Supersonic Turbulence
.,RUIHDJT3,Federrath,2013,The Origin Of Physical Variations In The Star Form
.,9BFMEN8I,Federrath and Klessen,2013,On The Star Formation Efficiency Of Turbulent Magn
.,IC6S5Q9Q,Fisher et al.,2013,Factors Driving Mercury Variability In The Arctic 
.,HCEYMMYJ,Flament et al.,2013,A Review Of Observations And Models Of Dynamic Top
.,BWUFZEVK,Flament et al.,2013,The Evolution Of The 87sr86sr Of Marine Carbonate
.,7UMZFGPX,Fogueri et al.,2013,The Melatonin Conformer Space Benchmark And Asses
.,KUB23DG9,Forster et al.,2013,A Cluster Randomised Controlled Trial And Economic
.,MPQYW4WM,Forster et al.,2013,A Structured Training Programme For Caregivers Of 
.,4I2P526H,Francois et al.,2013,Geometrical Frustration In Amorphous And Partially
.,WR6LHXGJ,Frankcombe et al.,2013,Sea Level Changes Forced By Southern Ocean Winds 
.,FTC74AQW,Froidevaux et al.,2013,A Raman Lidar To Measure Water Vapor In The Atmosp
.,C9IHUUAG,Gaede et al.,2013,Anisotropic Damage Mechanics As A Novel Approach T
.,PDVJVJD9,Gao et al.,2013,Lini0.5mn1.5o4 Spinel Cathode Using Room Temperatu
.,NJMDYBFJ,Gayen and Sarkar,2013,Degradation Of An Internal Wave Beam By Parametric
.,U5VHXGU3,Gayen et al.,2013,Completing The Mechanical Energy Pathways In Turbu
.,BSE8HWPS,Gayen et al.,2013,Energetics Of Horizontal Convection
.,NE5C2ULE,Gil-Pons et al.,2013,Evolution And Cno Yields Of Z = 10 -5
.,AIC4QA4P,Ginsburg et al.,2013,A Measurement Of The Turbulence-Driven Density Dis
.,9TPP8ZDZ,GMD Executive Editors,2013,Editorial The Publication Of Geoscientific Model 
.,FB74RPKC,Godfrey et al.,2013,Developing And Implementing An Integrated Delirium
.,L6CA482R,Goerigk and Reimers,2013,Efficient Methods For The Quantum Chemical Treatme
.,TQUWNCBF,Goerigk et al.,2013,Accurate Quantum Chemical Energies For Tetrapeptid
.,EZ83EEJF,Goulay et al.,2013,Formation Of Dimethylketene And Methacrolein By Re
.,GHNZS32K,Gould and Dobson,2013,Electron Affinities And Ionisation Potentials For 
.,2WCGK7P6,Gould and Dobson,2013,"The Flexible Nature Of Exchange, Correlation, And "
.,EL9K3FV3,Gould et al.,2013,Binding And Interlayer Force In The Near-Contact R
.,48KQ6WWR,Gould et al.,2013,Dispersion Corrections In Graphenic Systems A Sim
.,MKIVIU52,Gould et al.,2013,Effects Of A Finite Dirac Cone On The Dispersion P
.,JSBYPTBG,Gryn'ova et al.,2013,Switching Radical Stability By Ph-Induced Orbital 
.,9DZNZAKI,Guimard et al.,2013,Harnessing Entropy To Direct The Bondingdebonding
.,IGFRY544,Guo et al.,2013,Iterative Frequency Domain Equalization With Gener
.,VWY9A37Z,Gupta et al.,2013,Expanding The Spectrum Of Idh1 Mutations In Glioma
.,CW3J79AD,Hall et al.,2013,Finite-Volume Corrections To Charge Radii
.,FUXI8FEJ,Hall et al.,2013,Finite-Volume Matrix Hamiltonian Model For A Δ → N
.,5QBAR97X,Hall et al.,2013,Chiral Extrapolations For Nucleon Electric Charge 
.,M8W7WLXK,Hamacher and O’Neill,2013,The Discovery And History Of The Dalgaranga Meteor
.,ZZA7DESB,Hancock et al.,2013,Two Populations Of Gamma-Ray Burst Radio Afterglow
.,M96IPS89,Hansen et al.,2013,Uv Photodissociation Action Spectroscopy Of Haloan
.,XNYXBSAM,Hao et al.,2013,Nanostructured Magnetic Materials
.,LTPD3SID,Hemberger et al.,2013,Direct Observation Of Para -Xylylene As The
.,QYDDI5CQ,Higgins et al.,2013,Are Atmospheric Surface Layer Flows Ergodic Are 
.,GSHIP54S,Higgins et al.,2013,Measured And Estimated Water Vapor Advection In Th
.,F347YZN7,Hillebrandt et al.,2013,Towards An Understanding Of Type Ia Supernovae Fro
.,HY7RRV6V,Hindson et al.,2013,The G305 Star-Forming Complex Radio Continuum And
.,EBQGT92E,Hobbs et al.,2013,Thermal Instabilities In Cooling Galactic Coronae
.,3A9CCSKS,Hogarth et al.,2013,Infiltration In Soils With A Saturated Surface In
.,W7W9J4VC,Holt et al.,2013,Effectiveness Of A Multi-Component Intervention To
.,EW6X5LY6,Hourigan and Assemat,2013,Evolution And Rupture Of Vulnerable Plaques A Rev
.,8YA2HFFL,Huang et al.,2013,"Synthesis, Structural Analysis, And Thermal Decomp"
.,5YIMTKRJ,Hulme et al.,2013,Generating An Economic Model To Estimate The Cost-
.,2MMWRY7I,Hultmark et al.,2013,A New Wall Shear Stress Model For Atmospheric Boun
.,9VRAQ4UH,Hutchinson et al.,2013,Interhemispheric Asymmetry In Transient Global War
.,EUQ9668U,Ibeling and Heger,2013,The Metallicity Dependence Of The Minimum Mass For
.,3HQ7UJ8P,Ichiishi et al.,2013,Cu-Catalyzed Fluorination Of Diaryliodonium Salts 
.,G2U5SAGE,Ismadi et al.,2013,Optimisation Of A Stirred Bioreactor Through The U
.,5BU988I6,Ivanov and Kheifets,2013,Two-Photon Double Ionization Of The H 2 Molecule 
.,JZYLH9ND,Ivanov and Kheifets,2013,Extraction Of The Attosecond Time Delay In Atomic 
.,UM66ATRX,Ivanov and Kheifets,2013,Time Delay In Atomic Photoionization With Circular
.,W55ZALLK,Jensen et al.,2013,Pressure Exerted By A Grafted Polymer On The Limit
.,4NQKQFNJ,Jha et al.,2013,Demonstration Of A Geostatistical Approach To Phys
.,F29YAWK9,Ji et al.,2013,Scale-Up Design Analysis And Modelling Of Cobalt O
.,LKCUAA8G,Jia et al.,2013,"Vancomycin Ligand Recognition, Dimerization And S"
.,XEIR2MIF,Johnson et al.,2013,The Biggest Explosions In The Universe
.,UZFL5VYY,Jones et al.,2013,Mass Or Molar Recommendations For Reporting Conce
.,T5ZDSG2V,Kainulainen et al.,2013,"Connection Between Dense Gas Mass Fraction, Turbul"
.,BMEMU8DF,Kaminski et al.,2013,The Bethyjsbach Carbon Cycle Data Assimilation Sy
.,4G3P9J4G,Karton et al.,2013,Sneaking Up On The Criegee Intermediate From Below
.,C982XJR5,Kassal et al.,2013,Does Coherence Enhance Transport In Photosynthesis
.,F8WGF3NQ,Kersh et al.,2013,The Heterogeneity In Femoral Neck Structure And St
.,X9IYBIYK,Kheifets,2013,Time Delay In Valence-Shell Photoionization Of Nob
.,GG446RAV,Kim et al.,2013,The Agora High-Resolution Galaxy Simulations Compa
.,PX7NQ26Z,Kim et al.,2013,Dwarf Galaxies With Ionizing Radiation Feedback. I
.,KM34QPYH,Kim et al.,2013,Dwarf Galaxies With Ionizing Radiation Feedback. I
.,EM2MQCDY,Kirk et al.,2013,Characterisation Of The Ionic Products Arising Fro
.,ZYDTV4WY,Kirk et al.,2013,Does Addition Of No 2 To Carbon-Centere
.,XZ4UTBT2,Knights et al.,2013,Renal Drug Metabolism In Humans The Potential For
.,5EWVGMLW,Koffi et al.,2013,Quantifying The Constraint Of Biospheric Process P
.,7DGR5QJU,Kostryzhev et al.,2013,Effect Of Deformation Temperature On Niobium Clust
.,IVTAF823,Krenske et al.,2013,Intramolecular Oxyallyl–Carbonyl (3 + 2) Cycloaddi
.,FFGBAW2S,Kromer et al.,2013,Sn 2010lp—A Type Ia Supernova From A Violent Merge
.,EAS2FXNS,Krumholz,2013,The Star Formation Law In Molecule-Poor Galaxies
.,EAA77SCQ,Krumholz and Thompson,2013,Numerical Simulations Of Radiatively Driven Dusty 
.,4QBR8VQR,Krumholz et al.,2013,"Protostellar Disk Formation Enabled By Weak, Misal"
.,3LQD7TIP,Kudapa et al.,2013,Functional Genomics To Study Stress Responses In C
.,LGUIZWBX,Kuhlen et al.,2013,Dwarf Galaxy Formation With H 2 -Regula
.,YSAVDPJJ,Lasky and Melatos,2013,Tilted Torus Magnetic Fields In Neutron Stars And 
.,A2Y3WC2H,Lasky et al.,2013,Stochastic Gravitational Wave Background From Hydr
.,WJNLCUWM,Lee et al.,2013,Vortex-Induced Vibration Of A Neutrally Buoyant Te
.,4YY39GAB,Lenton et al.,2013,Sea–Air Co&Lt;Sub&Gt;2&Lt;Sub&Gt; Fluxes In The S
.,N2XXVFPS,Leontini et al.,2013,Wake States And Frequency Selection Of A Streamwis
.,FH6PUFBJ,Lepodise et al.,2013,Collective Librations Of Water Molecules In The Cr
.,46WYVAT3,Li and Cairns,2013,Type Iii Bursts Produced By Power Law Injected Ele
.,LWY5U3MJ,Li et al.,2013,Bonding Charge Density And Ultimate Strength Of Mo
.,J28NSLFX,Liu et al.,2013,The Impact Of Type Ia Supernova Explosions On Heli
.,PY86T4YH,Liu et al.,2013,"Anisotropy Of Crystal Growth Mechanisms, Dielectri"
.,RRAJDNEM,Liu et al.,2013,Changing Climate And Overgrazing Are Decimating Mo
.,ZQ588CX8,Lockyear et al.,2013,Isomer Specific Product Detection In The Reaction 
.,F9F9FKCC,Lugovskoy and Bray,2013,Pseudostate Description Of Diatomic-Molecule Scatt
.,TSPYA8PX,Luo et al.,2013,Simulation Study Of Ion Pairing In Concentrated Aq
.,DED5FUEE,Lv et al.,2013,Phase Transitions In X Y Antiferromagnets On Plane
.,I7AHNT69,Mahbub et al.,2013,Structure And Flow Of The Nucleon Eigenstates In L
.,8E9GUBRG,Mahbub et al.,2013,Low-Lying Odd-Parity States Of The Nucleon In Latt
.,RDE76XAA,Malajczuk et al.,2013,Molecular Dynamics Simulations Of The Interactions
.,9W7CH4EX,Marks et al.,2013,Chemical Evolution Via Beta Decay A Case Study In
.,QGZ8TL39,Mastrano et al.,2013,Neutron Star Deformation Due To Multipolar Magneti
.,HTFXMRKP,Matear et al.,2013,Climate Change Projection Of The Tasman Sea From A
.,BVCYYXS3,McGregor et al.,2013,Inferred Changes In El Niño–Southern Oscillation V
.,8RGQNQAZ,McGregor et al.,2013,Meridional Movement Of Wind Anomalies During Enso 
.,K4DVRNH9,McKinley et al.,2013,The Giant Lobes Of Centaurus A Observed At 118 Mhz
.,THFT33YQ,McNeil and Matear,2013,The Non-Steady State Oceanic Co&Lt;Sub&Gt;2&Lt;Su
.,F599GG44,Meads et al.,2013,Generating Utility Values For Use In Cost-Utility 
.,C55BQXH4,Mei et al.,2013,Ab Initio Molecular Dynamics Simulation And Free E
.,A8KY4P7H,Meunier and Hourigan,2013,Mixing In A Vortex Breakdown Flow
.,I5PRGTNU,Michel and Searles,2013,Local Fluctuation Theorem For Large Systems
.,98D7R6NG,Moore et al.,2013,Increased Redox-Active Peptide Loading On Carbon N
.,VIWP67QK,Moradi and Cally,2013,Modelling Fast-Alfvén Mode Conversion Using Sparc
.,FYYS32SR,Morandi et al.,2013,Consensus And Variations In Opinions On Delirium C
.,WDZDHSLK,Morgan et al.,2013,Wide-Field Vlbi Observations Of M31 A Unique Prob
.,JLXQA8VV,Morris et al.,2013,Low Major Histocompatibility Complex Diversity In 
.,7SF3V38C,Muhlbradt et al.,2013,Variant Nkx3.1 And Serum Igf-1 Investigation Of I
.,DA2G9MKY,Mukunthan et al.,2013,Castability And Microstructural Development Of Iro
.,XA3C7JBI,Mukunthan et al.,2013,Solidification Behaviour And Microstructural Devel
.,67YPUPVS,Murphy et al.,2013,Vast An Askap Survey For Variables And Slow Trans
.,9PBHEZJK,Murray et al.,2013,How Well Do We Know The Halo Mass Function
.,2QVGG932,Murray et al.,2013,Hmfcalc An Online Tool For Calculating Dark Matte
.,PV484YYZ,Mustafa et al.,2013,Quantitative Förster Resonance Energy Transfer Eff
.,7LG5X4EA,Mustapić et al.,2013,Enhancing Superconducting Properties Of Mgb 2
.,C3R56AA3,Mutzner et al.,2013,Geomorphic Signatures On Brutsaert Base Flow Reces
.,KIKJKMYD,Myers et al.,2013,"The Fragmentation Of Magnetized, Massive Star-Form"
.,WFJCGK6V,Norris et al.,2013,Radio Continuum Surveys With Square Kilometre Arra
.,BKPDR83N,Obreschkow et al.,2013,Confronting Cold Dark Matter Predictions With Obse
.,NRWTSNBW,Oke et al.,2013,Evaluation Of A Near-Global Eddy-Resolving Ocean M
.,CQXE68RR,Oldroyd et al.,2013,Thermal Diffusivity Of Seasonal Snow Determined Fr
.,2L6UGIWU,Owen et al.,2013,Variational Approach To The Calculation Of Ga
.,3G442M3R,Parikh et al.,2013,The Effects Of Variations In Nuclear Interactions 
.,5L8R3FW2,Pasfield et al.,2013,Synthesis Of (±)-Panduratin A And Related Natural 
.,T4M5LNMD,Pavlova et al.,2013,Perched At The Mito-Nuclear Crossroads Divergent 
.,GXKAHXHJ,Peña-Arancibia et al.,2013,Evaluation Of Precipitation Estimation Accuracy In
.,PL9ZS6HG,Petersen et al.,2013,Complex Patterns Of Genomic Admixture Within South
.,ACBTVQKB,Peylin et al.,2013,Global Atmospheric Carbon Budget Results From An 
.,JTJPITA9,Pham et al.,2013,Rapid Differentiation Of Isomeric Lipids By Photod
.,XS4Q36DB,Pignatari et al.,2013,Production Of Carbon-Rich Presolar Grains From Mas
.,V9K6SERP,Planck and AMI Collaborations et al.,2013,Planck Intermediate Results Ii. Comparison
.,A8IKX6K6,Plimpton and Gale,2013,Developing Community Codes For Materials Modeling
.,NE8E6EWA,Poad et al.,2013,Direct Detection Of A Persistent Carbonyloxyl Radi
.,G68XXQPF,Power,2013,Seeking Observable Imprints Of Small-Scale Structu
.,3PER7URS,Power et al.,2013,Feedback From High-Mass X-Ray Binaries On The High
.,4CXM86H9,Pozzi et al.,2013,Toward Global Drought Early Warning Capability Ex
.,6BL8BLYD,Pratley et al.,2013,Using Head–Tail Galaxies To Constrain The Intraclu
.,QL4B6VJH,Prendergast et al.,2013,Hydroxyl Radical Formation In The Gas Phase Oxidat
.,VJIGYEIM,Pullen et al.,2013,Measurement Of Laser Intensities Approaching 10 15
.,7QZIJST5,Raman et al.,2013,A Consensus Map Of Rapeseed (Brassica Napus L.) Ba
.,F3T7ZQFX,Rapaka et al.,2013,Tidal Conversion And Turbulence At A Model Ridge 
.,AI7YJ44K,Rashid et al.,2013,Computational Studies Of Marine Toxins Targeting I
.,ST49A6NI,Rashid et al.,2013,A Potent And Selective Peptide Blocker Of The Kv1.
.,U2AM2RAZ,Reimers et al.,2013,Assignment Of The Q-Bands Of The Chlorophylls Coh
.,XJEFBY9F,Reynolds et al.,2013,A Blazar-Like Radio Flare In Mrk 231
.,8WMS5TBS,Ridder et al.,2013,Sensitivity Of The Oceanic Carbon Reservoir To Tro
.,2QGD2BY4,Roach et al.,2013,The Interpretation Of Polycrystalline Coherent Ine
.,64T2T3HL,Roberts et al.,2013,Wave Function Of The Roper From Lattice Qcd
.,MSPH8Z7K,Robinson et al.,2013,A Numerical Modeling Study Of The Propagation Of I
.,LZTQ3I3X,Rossi et al.,2013,Multi-Decadal Projections Of Surface And Interior 
.,QL5Z7FA9,Safavi-Naeini et al.,2013,"Brachyview, A Novel Inbody Imaging System For Hdr "
.,MRYDBBHT,Sandve et al.,2013,Ten Simple Rules For Reproducible Computational Re
.,B3DMCV8G,Santoso et al.,2013,Late-Twentieth-Century Emergence Of The El Niño Pr
.,Z8CU44WY,Schammel et al.,2013,Ami Sz Observations And Bayesian Analysis Of A Sam
.,B6TER24U,Schellart and Moresi,2013,A New Driving Mechanism For Backarc Extension And 
.,KY9ZQXHI,Schleicher et al.,2013,The Small-Scale Dynamo Breaking Universality At H
.,C6X5DZ7K,Schleicher et al.,2013,Magnetic Fields During High Redshift Structure For
.,Z44KN4MF,Schneider et al.,2013,Cluster-Formation In The Rosette Molecular Cloud A
.,TBUWKUWN,Schneider et al.,2013,What Determines The Density Structure Of Molecular
.,3YRJYR9C,Schöffler et al.,2013,Ejection Of Quasi-Free-Electron Pairs From The Hel
.,SAUZ5K3Z,Searles et al.,2013,"Time Reversibility, Correlation Decay And The Stea"
.,DMSFXEV9,Seitenzahl et al.,2013,Solar Abundance Of Manganese A Case For Near Chan
.,NYB7VX7I,Shelyag et al.,2013,Alfvén Waves In Simulations Of Solar Photospheric 
.,XDUVH86S,Sherry et al.,2013,The Interaction Of Helical Tip And Root Vortices I
.,R4RT8SYD,Sherwood et al.,2013,Slippery Thermals And The Cumulus Entrainment Para
.,H4U89HKG,Shimwell et al.,2013,Sunyaev-Zel'dovich Observations With Ami Of The Ho
.,XHTSBWQ9,Shimwell et al.,2013,A Joint Analysis Of Ami And Carma Observations Of 
.,U2TLIDIT,Siddle et al.,2013,Reversible Epigenetic Down-Regulation Of Mhc Molec
.,HLCNC7Q3,Sim et al.,2013,Synthetic Light Curves And Spectra For Three-Dimen
.,GYCU2XZE,Sokell et al.,2013,Signature Of Two-Electron Interference In Angular 
.,W9Z5CYL9,Song et al.,2013,Energetics And Kinetics Of Li Intercalation In Irr
.,C23872BF,Song et al.,2013,"Graphenylene, A Unique Two-Dimensional Carbon Netw"
.,9RVLX7II,Spence et al.,2013,North Atlantic Climate Response To Lake Agassiz Dr
.,39IJBTJL,Spence et al.,2013,Using Eulerian And Lagrangian Approaches To Invest
.,PDMRMZ52,Stack et al.,2013,Virtual Probes Of Mineral-Water Interfaces The Mo
.,JRKA7CH6,Stodden et al.,2013,Toward Reproducible Computational Research An Emp
.,VH2KKTRX,Stodden et al.,2013,Toward Reproducible Computational Research An Emp
.,MPQ8XQG2,Stuecker et al.,2013,A Combination Mode Of The Annual Cycle And The El 
.,XS3QRKKH,Suda et al.,2013,Transition Of The Stellar Initial Mass Function Ex
.,G4P9AQ4S,Sukri Mat Ali et al.,2013,Aeolian Tones Generated By A Square Cylinder With 
.,LMMWUGDK,Summa et al.,2013,Gamma-Ray Diagnostics Of Type Ia Supernovae Predi
.,5G87SJNH,Sun et al.,2013,Nitrogen Removal From Natural Gas Using Solid Boro
.,9M3AT6YD,Sun et al.,2013,Architecture Designed Zno Hollow Microspheres With
.,II65YJGE,Sun et al.,2013,Morphology-Controllable 1d–3d Nanostructured Tio 
.,KN5IJZ86,Sun et al.,2013,Co2 Capture And Gas Separation On Boron Carbon Nan
.,DDJLSWQT,Sun et al.,2013,Charge-Controlled Switchable Co 2 Captu
.,DZ6LBY4J,Tanna et al.,2013,A Fourth H I 21 Cm Absorption System In The Sight 
